name,pubCode,description,startDate,endDate
bet.identificationReferences,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.","Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 1956. A revision of the North American species of the genus Helluomorphoides Ball, 1951. Proceedings of the Entomological Society of Washington 58:67-91.","Ball, G. E. 1956. A revision of the North American species of the genus Helluomorphoides Ball, 1951. Proceedings of the Entomological Society of Washington 58:67-91.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 1959. A taxonomic study of the North American Licinini with notes on the Old World species of the genus Diplocheila Brulle (Coleoptera). Memoirs of the American Entomological Society No. 16.","Ball, G. E. 1959. A taxonomic study of the North American Licinini with notes on the Old World species of the genus Diplocheila Brulle (Coleoptera). Memoirs of the American Entomological Society No. 16.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 1960. A review of the taxonomy of the genus Euryderus LeConte, 1848 with notes on the North American Dapti (of Authors) (Carabidae: Harpalini). The Coleopterists Bulletin 14:44-64.","Ball, G. E. 1960. A review of the taxonomy of the genus Euryderus LeConte, 1848 with notes on the North American Dapti (of Authors) (Carabidae: Harpalini). The Coleopterists Bulletin 14:44-64.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and J. N. Anderson. 1962. The taxonomy and speciation of Pseudophonus (a subgenus of Harpalus: Haralini: Carabidae, known to occur in North America). The Catholic University of America Press, Washington 17, D. C.","Ball, G. E., and J. N. Anderson. 1962. The taxonomy and speciation of Pseudophonus (a subgenus of Harpalus: Haralini: Carabidae, known to occur in North America). The Catholic University of America Press, Washington 17, D. C.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 1966. A Revision of the North American Species of the Subgenus Cryobius Chaudoir (Pterostichus, Carabidae, Coleoptera). Opuscula E. Entomoligiska Sallskapet, Sweden.","Ball, G. E. 1966. A Revision of the North American Species of the Subgenus Cryobius Chaudoir (Pterostichus, Carabidae, Coleoptera). Opuscula E. Entomoligiska Sallskapet, Sweden.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 1970. The Species of the Mexican genus Aztecarpalus, new genus (Coleoptera: Carabidae: Harpalini). The Coleopterists Bulletin 24:97-123.","Ball, G. E. 1970. The Species of the Mexican genus Aztecarpalus, new genus (Coleoptera: Carabidae: Harpalini). The Coleopterists Bulletin 24:97-123.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 1972. Classification of the species of the Harpalus subgenus Glanodes Casey (Carabidae: Coleoptera). The Coleopterists Bulletin 26:179-204.","Ball, G. E. 1972. Classification of the species of the Harpalus subgenus Glanodes Casey (Carabidae: Coleoptera). The Coleopterists Bulletin 26:179-204.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.","Ball, G. E. 1992. The Tribe Licinini (Coleoptera: Carabidae): A Review of the Genus-Groups and of the Species of Selected Genera. Journal of the New York Entomological Society 100:325-380.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E. 2001. The subgenera of Clivina Latreille in the Western Hemisphere, and a revision of subgenus Antroforceps Barr (new status), with notes about evolutionary aspects. Special Publication of the Japan Coleopterological Society 1:129-156.","Ball, G. E. 2001. The subgenera of Clivina Latreille in the Western Hemisphere, and a revision of subgenus Antroforceps Barr (new status), with notes about evolutionary aspects. Special Publication of the Japan Coleopterological Society 1:129-156.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and T. L. Erwin. 1969. A taxonomic synopsis of the tribe Loricerini (Coleoptera: Carabidae). Canadian Journal of Zoology 47:877-907.","Ball, G. E., and T. L. Erwin. 1969. A taxonomic synopsis of the tribe Loricerini (Coleoptera: Carabidae). Canadian Journal of Zoology 47:877-907.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G.E. and D.R. Maddison. 1987. Classification and evolutionary aspects of the species of the new world genus Amblygnathus Dejean, with description of Platymetopsis, new genus, and notes about select Selenophorus Dejean. Trans Amer Ent Soc 113:189-307","Ball, G.E. and D.R. Maddison. 1987. Classification and evolutionary aspects of the species of the new world genus Amblygnathus Dejean, with description of Platymetopsis, new genus, and notes about select Selenophorus Dejean. Trans Amer Ent Soc 113:189-307",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and S. McCleve. 1990. The middle American genera of the tribe ozaenini with notes about the species in southwestern United States and selected species from Mexico. Quaestiones Entomologicae 26:30-116.","Ball, G. E., and S. McCleve. 1990. The middle American genera of the tribe ozaenini with notes about the species in southwestern United States and selected species from Mexico. Quaestiones Entomologicae 26:30-116.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and J. Negre. 1972. The taxonomy of the Nearctic species of the genus Calathus Bonelli (Coleoptera: Carabidae: Agonini). Transactions of the American Entomological Society 98:413-533.","Ball, G. E., and J. Negre. 1972. The taxonomy of the Nearctic species of the genus Calathus Bonelli (Coleoptera: Carabidae: Agonini). Transactions of the American Entomological Society 98:413-533.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and A. P. Nimmo. 1983. Synopsis of the species of subgenus Progaleritina Jeannel, including reconstructed phylogeny and geographical history (Coleoptera: Carabidae: Galerita Fabricus). Trans American Ent Soc  109:295-356.","Ball, G. E., and A. P. Nimmo. 1983. Synopsis of the species of subgenus Progaleritina Jeannel, including reconstructed phylogeny and geographical history (Coleoptera: Carabidae: Galerita Fabricus). Trans American Ent Soc  109:295-356.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and D. Shpeley. 1983. The species of eucheiloid Pericalina: Classification and evolutionary considerations (Coleoptera: Carabidae: Lebiini). Canadian Entomologist 115:743-806.","Ball, G. E., and D. Shpeley. 1983. The species of eucheiloid Pericalina: Classification and evolutionary considerations (Coleoptera: Carabidae: Lebiini). Canadian Entomologist 115:743-806.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and D. Shpeley. 2009. A taxonomic review of the genus Apenes (Coleoptera: Carabidae: Lebiini) in the West Indies, with descriptions of the new species and notes about classification and biogeography. Annals of Carnegie Museum 78:79-191.","Ball, G. E., and D. Shpeley. 2009. A taxonomic review of the genus Apenes (Coleoptera: Carabidae: Lebiini) in the West Indies, with descriptions of the new species and notes about classification and biogeography. Annals of Carnegie Museum 78:79-191.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., and D. Shpeley. 2013. Western Hemisphere Zuphiini: descriptions of Coarazuphium whiteheadi, new species, and Zuphioides, new genus, and classification of the genera (Coleoptera, Carabidae). ZooKeys 315:17-54.","Ball, G. E., and D. Shpeley. 2013. Western Hemisphere Zuphiini: descriptions of Coarazuphium whiteheadi, new species, and Zuphioides, new genus, and classification of the genera (Coleoptera, Carabidae). ZooKeys 315:17-54.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Ball, G. E., D. Shpeley, and D. C. Currie. 1991. The new world genus Stenomorphus Dejean (Coleoptera: Carabidae: Harpalini): Classification, allometry, and evolutionary considerations. Canadian Entomologist 123:933-988.","Ball, G. E., D. Shpeley, and D. C. Currie. 1991. The new world genus Stenomorphus Dejean (Coleoptera: Carabidae: Harpalini): Classification, allometry, and evolutionary considerations. Canadian Entomologist 123:933-988.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1960. The Cavernicolous Beetles of the Subgenus Rhadine, Genus Agonum (Coleoptera: Carabidae). American Midland Naturalist 64:45-65.","Barr Jr., T. C. 1960. The Cavernicolous Beetles of the Subgenus Rhadine, Genus Agonum (Coleoptera: Carabidae). American Midland Naturalist 64:45-65.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1971a. Micratopus Casey in the United States (Coleoptera: Carabidae: Bembidiinae).","Barr Jr., T. C. 1971a. Micratopus Casey in the United States (Coleoptera: Carabidae: Bembidiinae).",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1971b. Trechoblemus in North America, with a key to North American genera of Trechinae (Coleoptera: Carabidae). Psyche 78:140-149.","Barr Jr., T. C. 1971b. Trechoblemus in North America, with a key to North American genera of Trechinae (Coleoptera: Carabidae). Psyche 78:140-149.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1971c. The North American Pterostichus of the Subgenus Cylindrocharis Casey (Coleoptera, Carabidae). American Museum Novitates:1-14.","Barr Jr., T. C. 1971c. The North American Pterostichus of the Subgenus Cylindrocharis Casey (Coleoptera, Carabidae). American Museum Novitates:1-14.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1974a. Key to species and subspecies of Sphaeroderus Dejean.","Barr Jr., T. C. 1974a. Key to species and subspecies of Sphaeroderus Dejean.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1974b. Revision of Rhadine LeConte (Coleoptera, Carabidae) I. The subterranea group. American Museum Novitates:1-30.","Barr Jr., T. C. 1974b. Revision of Rhadine LeConte (Coleoptera, Carabidae) I. The subterranea group. American Museum Novitates:1-30.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1979a. The Taxonomy, Distribution, and Affinities of Neaphaenops, with Notes on Associated Species of Pseudanophthalmus (Coleoptera, Carabidae). American Museum Novitates:1-20.","Barr Jr., T. C. 1979a. The Taxonomy, Distribution, and Affinities of Neaphaenops, with Notes on Associated Species of Pseudanophthalmus (Coleoptera, Carabidae). American Museum Novitates:1-20.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 1979b. Revision of Appalachian Trechus (Coleoptera: Carabidae). Brimleyana 2:29-75.","Barr Jr., T. C. 1979b. Revision of Appalachian Trechus (Coleoptera: Carabidae). Brimleyana 2:29-75.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 2004. A Classification and Checklist of the Genus Pseudanophthalmus Jeannel (Coleoptera: Carabidae: Trechinae). Virginia Museum of Natural History, Martinsville, VA.","Barr Jr., T. C. 2004. A Classification and Checklist of the Genus Pseudanophthalmus Jeannel (Coleoptera: Carabidae: Trechinae). Virginia Museum of Natural History, Martinsville, VA.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Barr Jr., T. C. 2009. New and Rare Species of Maronetus ( Coleoptera: Carabidae: Cychrini ) from the Appalachian Valley and Cumberland Plateau:313-316.","Barr Jr., T. C. 2009. New and Rare Species of Maronetus ( Coleoptera: Carabidae: Cychrini ) from the Appalachian Valley and Cumberland Plateau:313-316.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Turtles, Lizards, and Crocodilians: A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 352 pp.","Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Turtles, Lizards, and Crocodilians: A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 352 pp.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Frogs, Toads, and Other Amphibians A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 272 pp.","Bartlett, R. D. and P. P. Bartlett. 2011. Florida's Frogs, Toads, and Other Amphibians A Guide to Their Identification and Habits. University Press of Florida, Gainesville. 272 pp.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Battoni, F.  1985.  Una nuova species di Harpalus Latreille, 1802 (subg. Megapangus Casey, 1914) degli U. S. A. (Coleoptera, Carabidae).  Giornale Italiano di Entomologia 2 [1984-1985]:355-360.","Battoni, F.  1985.  Una nuova species di Harpalus Latreille, 1802 (subg. Megapangus Casey, 1914) degli U. S. A. (Coleoptera, Carabidae).  Giornale Italiano di Entomologia 2 [1984-1985]:355-360.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Beane J.C., Braswell A.L., Mitchell J.C., Palmer W.M., and Harrison III J.R. 2010. Amphibians and Reptiles of the Carolinas and Virginia. 2nd Ed. Greensboro (NC): The University of North Carolina Press","Beane J.C., Braswell A.L., Mitchell J.C., Palmer W.M., and Harrison III J.R. 2010. Amphibians and Reptiles of the Carolinas and Virginia. 2nd Ed. Greensboro (NC): The University of North Carolina Press",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bell, R. T. 1960. A Revision of the Genus Chlaenius Bonelli (Coleoptera, Carabidae) in North America. Miscellaneous Publications of the Entomological Society of America 1:98-166.","Bell, R. T. 1960. A Revision of the Genus Chlaenius Bonelli (Coleoptera, Carabidae) in North America. Miscellaneous Publications of the Entomological Society of America 1:98-166.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bell R.T. and J.R. Bell. 1975. Two new taxa of Clinidium (Coleoptera: Rhysodidae or Carabidae) from the eastern U.S., with a revised key to U.S. Clinidium. The Coleopterists Bulletin 29: 65-68","Bell R.T. and J.R. Bell. 1975. Two new taxa of Clinidium (Coleoptera: Rhysodidae or Carabidae) from the eastern U.S., with a revised key to U.S. Clinidium. The Coleopterists Bulletin 29: 65-68",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bell, R.T. and J.R. Bell. 1985. Rhysodini of the World. Part IV. Revisions of Rhyzodiastes Fairmaire and Clinidium Kirby, with New Species in Other Genera (Coleoptera: Carabidae: or Rhysodidae). Quaestiones Entomologicae. 21(1):1-172","Bell, R.T. and J.R. Bell. 1985. Rhysodini of the World. Part IV. Revisions of Rhyzodiastes Fairmaire and Clinidium Kirby, with New Species in Other Genera (Coleoptera: Carabidae: or Rhysodidae). Quaestiones Entomologicae. 21(1):1-172",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Benschoter, C. A., and E. F. Cook. 1956. A revision of the genus Omophron (Carabidae, Coleoptera) of North America North of Mexico. Annals of The Entomological Society of America 49:411-429.","Benschoter, C. A., and E. F. Cook. 1956. A revision of the genus Omophron (Carabidae, Coleoptera) of North America North of Mexico. Annals of The Entomological Society of America 49:411-429.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Best, T. L., and J. L. Dusi. 2014. Mammals of Alabama. The University of Alabama Press, Tuscaloosa.","Best, T. L., and J. L. Dusi. 2014. Mammals of Alabama. The University of Alabama Press, Tuscaloosa.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 1985. The subgenus Pseudoferonina Ball (Coleoptera: Carabidae: Pterostichus): description of three new species with a key to all known species. Pan Pacific Entomologist 61:253-260.","Bousquet, Y. 1985. The subgenus Pseudoferonina Ball (Coleoptera: Carabidae: Pterostichus): description of three new species with a key to all known species. Pan Pacific Entomologist 61:253-260.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 1987. The Carabid fauna of Canada and Alaska: range extensions, additions and descriptions of two new species of Dyschirius (Coleoptera: Carabidae). The Coleopterists Bulletin 41:111-135.","Bousquet, Y. 1987. The Carabid fauna of Canada and Alaska: range extensions, additions and descriptions of two new species of Dyschirius (Coleoptera: Carabidae). The Coleopterists Bulletin 41:111-135.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 1988. Dyschirius of America North of Mexico - Descriptions of New Species with Keys to Species Groups and Species (Coleoptera, Carabidae). Canadian Entomologist 120:361-387.","Bousquet, Y. 1988. Dyschirius of America North of Mexico - Descriptions of New Species with Keys to Species Groups and Species (Coleoptera, Carabidae). Canadian Entomologist 120:361-387.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 1992. Descriptions of New Or Poorly Known Species of Gastrosticta Casey, 1918 and Paraferonina Ball, 1965 (Coleoptera, Carabidae, Pterostichus Bonelli, 1810). Journal of the New York Entomological Society 100:510-521.","Bousquet, Y. 1992. Descriptions of New Or Poorly Known Species of Gastrosticta Casey, 1918 and Paraferonina Ball, 1965 (Coleoptera, Carabidae, Pterostichus Bonelli, 1810). Journal of the New York Entomological Society 100:510-521.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 1996. Taxonomic revision of Nearctic, Mexican, and West Indian Oodini (Coleoptera: Carabidae). The Canadian Entomologist 128:443-537.","Bousquet, Y. 1996. Taxonomic revision of Nearctic, Mexican, and West Indian Oodini (Coleoptera: Carabidae). The Canadian Entomologist 128:443-537.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 1997. Description of a new species of Clivina Latreille from the southeastern United States with a key to North American species of the fossor group (Coleoptera: Carabidae: Clivinini). The Coleopterists Bulletin 51:343-349.","Bousquet, Y. 1997. Description of a new species of Clivina Latreille from the southeastern United States with a key to North American species of the fossor group (Coleoptera: Carabidae: Clivinini). The Coleopterists Bulletin 51:343-349.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Yves. 1997b. Descriptions de deux nouvelles espèces nord-americaines du genre Dyschirius Bonelli (Coleoptera: Carabidae: Clivinini). Fabreries 21 [1996]:91-97 (Date of Publication 14 April 1997).","Bousquet, Yves. 1997b. Descriptions de deux nouvelles espèces nord-americaines du genre Dyschirius Bonelli (Coleoptera: Carabidae: Clivinini). Fabreries 21 [1996]:91-97 (Date of Publication 14 April 1997).",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 1999. Supraspecific classification of the Nearctic Pterostichini (Coleoptera: Carabidae). Association des entomologistes amateurs du Quebec.","Bousquet, Y. 1999. Supraspecific classification of the Nearctic Pterostichini (Coleoptera: Carabidae). Association des entomologistes amateurs du Quebec.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 2006a. New Synonymies and Notes on North American Loxandrus LeConte (Coleoptera: Carabidae). The Coleopterists Bulletin 60:145-157.","Bousquet, Y. 2006a. New Synonymies and Notes on North American Loxandrus LeConte (Coleoptera: Carabidae). The Coleopterists Bulletin 60:145-157.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 2006b. Review of the species of Ardistomina (Coleoptera: Carabidae: Clivinini) in America north of Mexico. Zootaxa 29:1-29.","Bousquet, Y. 2006b. Review of the species of Ardistomina (Coleoptera: Carabidae: Clivinini) in America north of Mexico. Zootaxa 29:1-29.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 2006c. Review of the species of Ardistomina (Coleoptera: Carabidae: Clivinini) in America north of Mexico. Zootaxa 1308: 1-29 [DP: 4 September 2006]","Bousquet, Y. 2006c. Review of the species of Ardistomina (Coleoptera: Carabidae: Clivinini) in America north of Mexico. Zootaxa 1308: 1-29 [DP: 4 September 2006]",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 2010a. Review of the Nearctic, Mexican and West Indian (Greater Antilles) species of Colliuris Degeer (Col.: Carabidae: Odacanthini). Zootaxa 39:1-39.","Bousquet, Y. 2010a. Review of the Nearctic, Mexican and West Indian (Greater Antilles) species of Colliuris Degeer (Col.: Carabidae: Odacanthini). Zootaxa 39:1-39.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.","Bousquet, Y. 2010b. Illustrated Identification Guide to Adults and Larvae of Northeastern North American Ground Beetles (Coleoptera: Carabidae). 1st Ed. Pensoft Publishers, Sofia, Bulgaria.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.","Bousquet, Y. 2012. Catalogue of Geadephaga (Coleoptera, Adephaga) of America, north of Mexico. ZooKeys 245:1-1722.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and H. Goulet. 1990. Description of a new species of Metrius (Coleoptera: Carabidae: Paussini) from Idaho with comments on the taxonomic status of the other taxa of the genus. Pan Pacific Entomologist 66:13-18.","Bousquet, Y., and H. Goulet. 1990. Description of a new species of Metrius (Coleoptera: Carabidae: Paussini) from Idaho with comments on the taxonomic status of the other taxa of the genus. Pan Pacific Entomologist 66:13-18.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and S. Laplante. 1997. Taxonomic review of the New World Pogonini (Coleoptera: Carabidae). Canadian Entomologist 129:699-731.","Bousquet, Y., and S. Laplante. 1997. Taxonomic review of the New World Pogonini (Coleoptera: Carabidae). Canadian Entomologist 129:699-731.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and P. W. Messer. 2010. Redescription of Stenolophus thoracicus Casey (Coleoptera, Carabidae, Harpalini), a valid species. ZooKeys 53:25-31.","Bousquet, Y., and P. W. Messer. 2010. Redescription of Stenolophus thoracicus Casey (Coleoptera, Carabidae, Harpalini), a valid species. ZooKeys 53:25-31.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and J.-G. Pilon. 1984. Redescription of Pterostichus (Pseudomaseus) tenuis (Casey), a valid species (Coleoptera: Carabidae).  The Coleopterists Bulletin 37[1983]:389-396.","Bousquet, Y., and J.-G. Pilon. 1984. Redescription of Pterostichus (Pseudomaseus) tenuis (Casey), a valid species (Coleoptera: Carabidae).  The Coleopterists Bulletin 37[1983]:389-396.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y. and P. E. Skelley. 2010. Description of a New Species of Scarites Fabricius (Coleoptera: Carabidae) from Florida. The Coleopterists Bulletin 64(1): 45-49.","Bousquet, Y. and P. E. Skelley. 2010. Description of a New Species of Scarites Fabricius (Coleoptera: Carabidae) from Florida. The Coleopterists Bulletin 64(1): 45-49.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and P. Skelley. 2012. Description of two new species of Clivina Latreille (Coleoptera, Carabidae, Clivinini) from southeastern United States. ZooKeys 178:43-50.","Bousquet, Y., and P. Skelley. 2012. Description of two new species of Clivina Latreille (Coleoptera, Carabidae, Clivinini) from southeastern United States. ZooKeys 178:43-50.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and A. Smetana. 1995. A review of the tribe Opisthiini. Nouv Revue Ent 12:215-232.","Bousquet, Y., and A. Smetana. 1995. A review of the tribe Opisthiini. Nouv Revue Ent 12:215-232.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and R. Webster. 2004. Review of the Nearctic species of the Holarctic subgenus Argutor (Coleoptera: Carabidae). Canadian Entomologist 136:645-660.","Bousquet, Y., and R. Webster. 2004. Review of the Nearctic species of the Holarctic subgenus Argutor (Coleoptera: Carabidae). Canadian Entomologist 136:645-660.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Bousquet, Y., and R. Webster. 2006.  Descriptions of three new species of Bembidion Latreille (Coleoptera: Carabidae) occurring in Canada. Zootaxa 1297:23-35.","Bousquet, Y., and R. Webster. 2006.  Descriptions of three new species of Bembidion Latreille (Coleoptera: Carabidae) occurring in Canada. Zootaxa 1297:23-35.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Boyd O.F., and T.L. Erwin. 2016. Taxonomic review of New World Tachyina (Coleoptera, Carabidae): descriptions of new genera, subgenera, and species, with an updated key to the subtribe in the Americas. ZooKeys 626: 87-123.","Boyd O.F., and T.L. Erwin. 2016. Taxonomic review of New World Tachyina (Coleoptera, Carabidae): descriptions of new genera, subgenera, and species, with an updated key to the subtribe in the Americas. ZooKeys 626: 87-123.",2016-01-01T00:00:00Z,NA
bet.identificationReferences,"Brennan, T. C. and A. T. Holycross. 2006. A Field Guide to Amphibians and Reptiles in Arizona. Arizona Game and Fish Department.","Brennan, T. C. and A. T. Holycross. 2006. A Field Guide to Amphibians and Reptiles in Arizona. Arizona Game and Fish Department.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,Carabidae.org. http://carabidae.org.,Carabidae.org. http://carabidae.org.,2012-01-01T00:00:00Z,NA
